	species	species_author	species_zh	species_abbrev	life_form	fern	endemic	leaf_habit
1	Abrodictyum obscurum	Abrodictyum obscurum (Blume) Ebihara & K.Iwats.	線片長片蕨	Abroobsc	E	TRUE	FALSE	
2	Acer kawakamii	Acer kawakamii Koidz.	尖葉槭	Acerkawa	T	FALSE	FALSE	DB
3	Acer morrisonense	Acer morrisonense Hayata	臺灣紅榨槭	Acermorr	T	FALSE	FALSE	DB
4	Acer palmatum var. pubescens	Acer palmatum var. pubescens Li	臺灣掌葉槭	Acerpube	T	FALSE	FALSE	DB
5	Acystopteris taiwaniana	Acystopteris taiwaniana (Tagawa) Á.Löve & D.Löve	臺灣亮毛蕨	Acystaiw	H	TRUE	FALSE	
6	Acystopteris tenuisecta	Acystopteris tenuisecta (Blume) Tagawa	禾稈亮毛蕨	Acystenu	H	TRUE	FALSE	
7	Adinandra formosana var. formosana	Adinandra formosana Hayata var. formosana	臺灣楊桐	Adinform	T	FALSE	TRUE	EB
8	Aeschynanthus acuminatus	Aeschynanthus acuminatus Wall. ex A. DC.	長果藤	Aescacum	L	FALSE	FALSE	
9	Ainsliaea latifolia subsp. henryi	Ainsliaea latifolia subsp. henryi (Diels) H. Koyama	臺灣鬼督郵	Ainshenr	H	FALSE	FALSE	
10	Akebia trifoliata subsp. australis	Akebia trifoliata subsp. australis (Diels) T. Shimizu	白木通	Akebaust	L	FALSE	FALSE	
11	Alpinia intermedia	Alpinia intermedia Gagnep.	山月桃	Alpiinte	H	FALSE	FALSE	
12	Alpinia japonica	Alpinia japonica (Thunb.) Miq.	山薑	Alpijapo	H	FALSE	FALSE	
13	Alsophila podophylla	Alsophila podophylla Hook.	鬼桫欏	Alsopodo	S	TRUE	FALSE	EB
14	Alsophila spinulosa	Alsophila spinulosa (Wall. ex Hook.) R.M.Tryon	臺灣桫欏	Alsospin	T	TRUE	FALSE	EB
15	Aniselytron treutleri	Aniselytron treutleri (Kuntze) Soják	溝稃草	Anistreu	H	FALSE	FALSE	
16	Antidesma japonicum var. densiflorum	Antidesma japonicum var. densiflorum Hurus.	密花五月茶	Antidens	S	FALSE	FALSE	EB
17	Arachniodes amabilis var. amabilis	Arachniodes amabilis (Blume) Tindale var. amabilis	屋久複葉耳蕨	Aracamab	H	TRUE	FALSE	
18	Arachniodes festina	Arachniodes festina (Hance) Ching	臺灣兩面複葉耳蕨	Aracfest	H	TRUE	FALSE	
