	plot_ID	elevation_zone	lat	lon	elevation	aspect	slope	plot_size	rock_soil	cover_rock	soildpt_median	soildpt_mean	folded_aspect_NE	heatload	pH_H2O	Ca	Cu	Fe	K	Mg	Mn	P	Zn	total_N	total_C	CN_ratio	fog_freq
1	L11	2100	24.70732	121.45038	1980	25	39	100	0	0	5	35	20	0.532926201	3.781	108.4626801	0.368908669	469.9773723	94.15455155	48.48756967	14.35147367	9.515011748	2.444765668	0.815387623	10.86676935	13.3271208	0.22846
2	L12	2100	24.70218	121.44499	2050	140	5	100	0	0	5	35	95	1.010725816	3.274	159.3964994	0.684054622	371.653713	214.9585243	244.453665	12.3826631	48.48974224	17.29436335	1.527534927	29.54341597	19.34058295	0.14836
3	L13	2100	24.70716	121.45082	2040	40	47	100	0	0.5	4.5	28.5	5	0.40824062	3.452	277.3685017	0.438549445	480.1191344	224.1426235	182.2575043	25.49361138	41.4308308	7.594450614	1.358427766	22.54475892	16.59621474	0.22846
4	L14	2100	24.7057	121.45064	2120	90	1.5	100	0	0	5	35	45	0.982833275	3.362	59.57758952	0.074763839	459.638675	94.24247461	58.82367289	5.792208087	14.49959501	5.852008436	0.5594021	8.900575443	15.91087243	0.19212
5	L15	2100	24.70498	121.45034	2100	88	9	100	0	0	5	35	43	0.930445778	3.862	38.34473947	0.263118953	431.6592923	82.7726679	31.62334215	6.443519491	5.90363577	1.885550948	0.555125192	7.598729176	13.68831624	0.19212
6	L16	2100	24.70299	121.44613	2060	190	19	100	0	0	4.5	27.75	145	1.107370909	3.211	154.1971172	0.572022449	206.5638544	173.0007034	205.0749151	11.91602197	52.7955287	17.94091494	0.731575143	13.74850203	18.79301417	0.14836
7	L17	2100	24.70238	121.44592	2046	120	28	100	0	0	4.5	30	75	0.88882329	2.91	138.8146297	1.488268374	96.80109494	318.9243607	433.1335365	7.604987115	67.87090391	22.45284355	1.50410958	51.06281922	33.94886909	0.14836
8	L1L	2100	24.70092	121.44442	2082	180	14	100	0	0	5	35	135	1.086645346	3.02	154.2517734	1.54758451	312.1664731	241.0412576	274.7878319	13.462314	113.6650327	22.34968203	2.335950975	44.04987485	18.85736273	0.1484
9	L1R	2100	24.70341	121.44658	2060	168	15	100	0	0	5	35	123	1.07822938	2.854	154.271838	1.357240228	150.549281	323.3308625	514.8543577	8.456792814	87.369569	30.39625821	1.765427773	55.2586659	31.30043989	0.14836
10	L1W	2100	24.70672	121.45071	2176	40	31	100	0	0	5	35	5	0.586101393	3.38	359.4570744	0.758930676	471.6763224	187.1046359	147.6007841	30.1122716	55.9810394	6.193332736	1.430152359	22.48496762	15.72207848	0.22846
11	L21	1850	24.72006	121.443	1813	350	33	100	3	5	3	19.25	55	0.744240746	4.021	456.7590899	0.772958508	161.7090373	173.8045718	89.64639936	103.9700981	57.41162985	3.842541921	2.041244745	27.16965225	13.31033543	0.28064
12	L22	1850	24.71853	121.44352	1888	50	10	100	0	0	5	35	5	0.863966464	3.807	222.0902804	0.743182457	137.2662923	172.3478735	75.00812568	119.3353519	37.10221639	3.829464295	1.72039472	24.09527615	14.00566734	0.27042
13	L23	1850	24.71851	121.44396	1884	54	44	100	5	30	2	13	9	0.447514444	4.126	403.0635216	0.4832389	216.7761176	132.8136543	65.09661062	68.94008859	29.29280242	3.594011535	0.992135285	12.12206702	12.21815936	0.27042
14	L25	1850	24.71877	121.44327	1885	310	24	100	0	0	5	35	95	1.000327723	3.43	114.5603209	0.499181358	290.0461941	111.7197345	63.21920529	14.99447369	23.40523279	2.986223373	1.209868292	16.8776616	13.94999911	0.27042
15	L26	1850	24.71813	121.44326	1891	260	24	100	1	1	5	26.25	145	1.113136649	3.302	56.12928194	0.502801049	366.3122614	150.0540832	65.93364286	11.3962767	42.26030295	4.245904497	1.762898349	25.03048922	14.19848696	0.27042
16	L27	1850	24.7175	121.44307	1868	220	38	100	0	0	3	15.25	175	1.01830798	3.279	345.9794588	0.59027942	368.2599531	267.2785173	207.6623031	27.66015825	133.1375913	9.725978933	2.803694827	42.36643519	15.11092962	0.27042
