	species	species_abbrev	LDMC	Lth	Chl_SPAD	LA	SLA	EWT	succulence	d13C	d15N	leaf_N	leaf_C	leaf_CN	SSD_core	SSD_branch	WRu	WRb	VD
1	Acer kawakamii	Acerkawa_T	352.3776962	0.169722222	53.94590443	2642.708778	22.43594573	0.085673523	0.111722254	-29.163	-5.134	24.3	429.9	17.69135802		0.4148612	80.05	83.92777778	
2	Acer morrisonense	Acermorr_T	360.2665265	0.154583333	51.68297741	4417.95725	20.82884819	0.087460481	0.114848276	-31.837	-4.458	18.1	412.8	22.80662983		0.411052025	69.1	79.45416667	3.331409524
3	Acer palmatum var. pubescens	Acerpube_T	435.917275	0.143103535	46.7956211	1945.936909	17.80539116	0.075764842	0.080391355	-29.85	-3.89	18.43333333	436.9666667	23.72218689	0.6116681	0.4756422	69.29772727	75.90909091	4.297074286
4	Adinandra formosana var. formosana	Adinform_T	342.0292288	0.299541667	49.81666667	1361.916667	11.83434648	0.162977169	0.202296668	-33.156	-1.062	8.2	393.2	47.95121951		0.5760821	74.00266667	73.15508333	2.826711905
5	Antidesma japonicum var. densiflorum	Antidens_T	295.8407899	0.177055556	48.31666667	1467.582333	20.02215603	0.11988837	0.122223118	-33.167	-0.763	15.6	398.2	25.52564103		0.6390415	88.65	88.2	3.996352381
6	Ardisia quinquegona	Ardiquin_T	423.0619272	0.21	62.10025982	1428.165333	11.26397543	0.121975824	0.119440219	-31.461	-1.751	15.7	449.2	28.61146497		0.5981767			
7	Barthea barthei	Bartbart_T	301.5584151	0.278055556	51.9235816	1504.017889	20.84050718	0.112388862	0.187005202	-33.155	-1.482	14.5	406.6	28.04137931		0.541669367	68.28055556	60.86666667	
8	Cornus kousa subsp. chinensis	Cornchin_T	411.9194547	0.163916667	55.51666667	3352.851667	12.55664371	0.114435782	0.090603396	-28.121	-3.02	18.8	418.7	22.2712766	0.6664706		59.1	75.3	3.187638095
9	Blastus cochinchinensis	Blascoch_T	275.6898055	0.196805556	45.18827131	3535.561	30.90447742	0.087167504	0.140945348							0.492630133	75.55416667	62.89166667	
10	Camellia brevistyla	Camebrev_T	437.1594571	0.379388889	72.25936739	709.5575556	8.446075997	0.158797041	0.212445521	-29.0935	0.8551875	16.3	429.15	26.32700994	0.5843548	0.54781115	61.19444444	71.63888889	2.994744762
11	Carpinus rankanensis	Carprank_T	541.6249434	0.0785	34.1	2210.993	14.48269641	0.058464451	0.038234616	-28.268	-0.940533333	19.4	463.1	23.87113402	0.5642012		57.61666667	75	4.5954
12	Castanopsis cuspidata var. carlesii	Castcarl_T	445.5075115	0.289555556	48.85423345	1827.461278	9.793504412	0.127040907	0.157874404	-31.0805	-0.723	14.95	449.05	30.82124138	0.51650305		72.51388889	93.06944444	3.821630159
13	Chamaecyparis formosensis	Chamform_T	447.208027	0.509888889		1216.192111	8.338536841	0.148847005	0.281028241	-27.941	-1.675	11.1	469.3	42.27927928	0.3788629				
14	Chamaecyparis obtusa var. formosana	Chamobtu_T	469.1738735	0.711805556		911.0585	6.904726298	0.164091734	0.371599481	-29.543	-2.922	8.6	446.6	52.06504065	0.46277925				
15	Cinnamomum macrostemon	Cinnmacr_T	479.2921344	0.210037037	43.88888889	2091.624	10.04488027	0.109978221	0.114469176	-32.892	-2.619	15.2	454.8	29.92105263	0.5719903	0.45604585	72.05116667	84.93808333	3.938444444
